,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
1594,筒,8.0,12,1631,2.0,['トウ'],['つつ'],"['cylinder', 'pipe', 'tube', 'gun barrel', 'sleeve']",筒とは、丸く細長くて中が空洞になっているもの。,"A cylinder is a round, slender long object with a hollow interior."
1595,鼻,3.0,14,1632,2.0,['ビ'],['はな'],"['nose', 'snout']",市役所はもう目と鼻の先だ。,The city hall is just around the corner.
1596,怪,8.0,8,1634,1.0,"['カイ', 'ケ']","['あや.しい', 'あや.しむ']","['suspicious', 'mystery', 'apparition']",彼は怪我の賠償として多額の金を受け取った。,He received a large sum of money in compensation for his injury.
1597,粒,8.0,11,1635,2.0,['リュウ'],['つぶ'],"['grains', 'drop', 'counter for tiny particles']",彼らは粒よりの兵士だ。,They are picked soldiers.
1598,詞,6.0,12,1636,2.0,['シ'],['ことば'],"['part of speech', 'words', 'poetry']",「ああ」は感嘆詞だ。,"""Ah"" is an interjection."
1599,鳩,9.0,13,1637,1.0,"['キュウ', 'ク']","['はと', 'あつ.める']","['pigeon', 'dove']",白い鳩はきれいな鳥です。,White doves are pretty birds.
1600,偉,8.0,12,1639,2.0,['イ'],['えら.い'],"['admirable', 'greatness', 'remarkable', 'conceited', 'famous', 'excellent']",偉大な批評家と詩人が一緒に旅行している。,The great critic and the poet are traveling together.
1601,酔,8.0,11,1640,1.0,['スイ'],"['よ.う', 'よ.い', 'よ']","['drunk', 'feel sick', 'poisoned', 'elated', 'spellbound']",彼女は夫が酔っぱらって帰宅したとき、腹を立てた。,She got her back up when her husband came home drunk.
1602,惜,8.0,11,1641,1.0,['セキ'],"['お.しい', 'お.しむ']","['pity', 'be sparing of', 'frugal', 'stingy', 'regret']",これは失うにはあまりにも惜しい機会だ。,This is too good a chance to miss.
1603,穫,8.0,18,1642,1.0,['カク'],[],"['harvest', 'reap']",その洪水は農作物の収穫に多大な損害を与えた。,The flood did a lot of harm to the crops.
1604,佳,8.0,8,1643,1.0,['カ'],[],"['excellent', 'beautiful', 'good', 'pleasing', 'skilled']",リアリズム映画の佳作との評価を得た。,The film received critical acclaim as a fine example of realism.
1605,潤,8.0,15,1644,1.0,['ジュン'],"['うるお.う', 'うるお.す', 'うる.む']","['wet', 'be watered', 'profit by', 'receive benefits', 'favor', 'charm', 'steep']",中央銀行は主にその他の銀行及び政府と業務を行い、利潤をあげることの他に国民経済の利益になる広い責任を負う銀行である。,Central Bank is a bank that deals mainly with other banks and the government and assumes broad responsibilities in the interests of the national economy apart from the earning of profits.
1606,悼,8.0,11,1645,1.0,['トウ'],['いた.む'],"['lament', 'grieve over']",御尊父の死に謹んで哀悼の意を表します。,Please accept our condolences on the death of your father.
1607,乏,8.0,4,1646,1.0,['ボウ'],"['とぼ.しい', 'とも.しい']","['destitution', 'scarce', 'limited']",貧乏は彼女の性に合わない。,Poverty is alien to her nature.
1608,胃,6.0,9,1647,2.0,['イ'],[],"['stomach', 'paunch', 'crop', 'craw']",神経を使ったせいか胃が痛いです。,I have a nervous stomach.
1609,該,8.0,13,1648,1.0,['ガイ'],[],"['above-stated', 'the said', 'that specific']",彼は該事件について証言を拒否した。,He refused to give any testimony for the case.
1610,赴,8.0,9,1649,1.0,['フ'],['おもむ.く'],"['proceed', 'get', 'become', 'tend']",戦場に赴くカメラマンが不発弾の危険性を知らないのは不思議だ、新聞社は教育を怠ってる。,It is strange that a cameraman heading for a war-zone should not know about the danger of unexploded shells. The newspaper company is being negligent in its training.
1611,桑,8.0,10,1650,1.0,['ソウ'],['くわ'],['mulberry'],桑田変じて海となる。,Things are subject to change.
1612,桂,9.0,10,1651,1.0,['ケイ'],['かつら'],"['Japanese Judas-tree', 'cinnamon tree']",桂の木の林がある。,There is a wood of katsura trees.
1613,髄,8.0,19,1652,1.0,['ズイ'],[],"['marrow', 'pith', 'essence']",私はその脅迫状に心の髄まで震えた。,That threatening letter scared me to the bottom of my heart.
1614,虎,8.0,8,1653,1.0,['コ'],['とら'],"['tiger', 'drunkard']",虎の尻尾を踏む。,Take a great risk (literally: tread on a tiger's tail).
1615,盆,8.0,9,1654,1.0,['ボン'],[],"['basin', 'lantern festival', 'tray']",諺に、覆水盆に返らずと言う。,The proverb says that what is done cannot be undone.
1616,晋,9.0,10,1655,1.0,['シン'],['すす.む'],['advance'],安倍内閣は、第９０代の内閣総理大臣に指名された安倍晋三が２００６年９月２６日に発足させた内閣である。,"The Abe Cabinet is the Cabinet inaugurated on September 26, 2006 by Shinzo Abe, who was appointed as Japan's 90th Prime Minister."
1617,穂,8.0,15,1656,1.0,['スイ'],['ほ'],"['ear', 'ear (grain)', 'head', 'crest (wave)']",果樹栽培者がリンゴの接ぎ穂を台木に接ぎ木しました。,The orchardist grafted an apple bud onto the rootstock.
1618,壮,8.0,6,1657,1.0,['ソウ'],['さかん'],"['robust', 'manhood', 'prosperity']",この壮大な大聖堂の建立は中世にまでさかのぼる。,This magnificent cathedral dates back to the Middle Ages.
1619,堤,8.0,12,1658,1.0,['テイ'],['つつみ'],"['dike', 'bank', 'embankment']",彼らは村を洪水から守るために堤防を補強した。,They strengthened the embankments to secure the village against floods.
1620,飢,8.0,10,1659,1.0,['キ'],['う.える'],"['hungry', 'starve']",飢饉の見通しが世界の多くの地域に迫っている。,The prospect of famine hangs over many areas of the world.
1621,傍,8.0,12,1660,1.0,['ボウ'],"['かたわ.ら', 'わき', 'おか-', 'はた', 'そば']","['bystander', 'side', 'besides', 'while', 'nearby', 'third person']",私は門の傍に駐車した。,I parked my car by the gate.
1622,疫,8.0,9,1661,1.0,"['エキ', 'ヤク']",[],['epidemic'],世界的な美術品窃盗という疫病が美術館をからにしてしまった。,A worldwide plague of theft emptied museums.
1623,累,8.0,11,1662,1.0,['ルイ'],[],"['accumulate', 'involvement', 'trouble', 'tie up', 'continually']",回収対象のソニー製充電池は累計で７６５万９０００個となった。,"The target number of Sony rechargeable batteries for collection totalled 7,659,000 units."
1624,痴,8.0,13,1663,1.0,['チ'],"['し.れる', 'おろか']","['stupid', 'foolish']",私は方向音痴なのでいつも方位磁石を持ち歩いています。,I have no sense of direction so I always travel with a compass.
1625,搬,8.0,13,1664,1.0,['ハン'],[],"['conveyor', 'carry', 'transport']",この後、ミキは病院へ搬送された。,"After this, Miki was taken to the hospital."
1626,畳,8.0,12,1665,2.0,"['ジョウ', 'チョウ']","['たた.む', 'たたみ', 'かさ.なる']","['tatami mat', 'counter for tatami mats', 'fold', 'shut up', 'do away with']",畳の上で死ぬ,to die a natural death; die in one’s own bed
1627,癒,8.0,18,1667,1.0,['ユ'],"['い.える', 'いや.す', 'い.やす']","['healing', 'cure', 'quench (thirst)', 'wreak']",王を得た麒麟もまた寿命を持たない生き物だが、この病ばかりは治癒の方法がない。,"A qilin with a king too has no limit on its lifespan, but this illness alone admits of no remedy."
1628,桐,9.0,10,1668,1.0,"['トウ', 'ドウ']",['きり'],['paulownia'],桐箱には香木等を用いた防虫香を共に納める。,It is kept in a paulownia box with fragrant mothballs made of fragrant wood.
1629,寸,6.0,3,1669,1.0,['スン'],[],"['measurement', 'tenth of a shaku', 'a little', 'small']",寸を与えれば尺を望む。,Give him an inch and he will take a yard.
1630,郭,8.0,11,1670,1.0,['カク'],['くるわ'],"['enclosure', 'quarters', 'fortification', 'red-light district']",霧のため山の輪郭がぼんやりしていた。,The mountain was blurred by fog.
1631,机,6.0,6,1671,2.0,['キ'],['つくえ'],"['desk', 'table']",メグは机を片づけた。,Meg cleared up her desk.
1632,尿,8.0,7,1672,1.0,['ニョウ'],"['ゆばり', 'いばり', 'しと']",['urine'],尿の色が濁っています。,My urine is cloudy.
1633,凶,8.0,4,1673,1.0,['キョウ'],[],"['villain', 'evil', 'bad luck', 'disaster']",最近の凶悪事件をニュースで見るたび、バーチャルな世界と生きる世界の区別がなくなった若者が急増していることに気付かされる。,These days when I hear about these horrible incidents on the news I get the feeling that more and more young people are losing their ability to distinguish between real and virtual worlds.
1634,吐,8.0,6,1674,1.0,['ト'],"['は.く', 'つ.く']","['spit', 'vomit', 'belch', 'confess', 'tell (lies)']",そんなことばを吐いたことを君は後悔するだろう。,You'll regret having said those words.
1635,宴,8.0,10,1675,1.0,['エン'],['うたげ'],"['banquet', 'feast', 'party']",女は悪魔の宴へと向かう。,She rides to the black sabbath.
1636,鷹,9.0,24,1676,1.0,"['ヨウ', 'オウ']",['たか'],['hawk'],鷹は鋭い目を持っている。,The hawk has piercing eyes.
1637,賓,8.0,15,1677,1.0,['ヒン'],[],"['V.I.P.', 'guest']",今夜の主賓に乾杯しよう。,Let's toast the guest of honor!
1638,虜,8.0,13,1678,1.0,"['リョ', 'ロ']","['とりこ', 'とりく']","['captive', 'barbarian', 'low epithet for the enemy']",彼女の心は野心の虜になっていた。,Her heart was dominated by ambition.
1639,膚,8.0,15,1679,2.0,['フ'],['はだ'],"['skin', 'body', 'grain', 'texture', 'disposition']",慢性の皮膚炎があります。,I have chronic dermatitis.
1640,陶,8.0,11,1680,1.0,['トウ'],['すえ'],"['pottery', 'porcelain']",泥は陶器を作るのに必要な材料です。,Clay is the essential ingredient in making pottery.
1641,鐘,8.0,20,1681,1.0,['ショウ'],['かね'],"['bell', 'gong', 'chimes']",鐘が鳴っている。,The bell is ringing.
1642,憾,8.0,16,1682,1.0,['カン'],['うら.む'],"['remorse', 'regret', 'be sorry']",彼に機嫌を損ねられて実に遺憾だった。,I found it truly regrettable that he should take offence.
1643,猪,9.0,11,1684,1.0,['チョ'],"['い', 'いのしし']",['boar'],俺に手向うとは猪口才な。,It is presumptuous of you to fight back against me.
1644,磁,6.0,14,1686,1.0,['ジ'],[],"['magnet', 'porcelain']",キートンはハトの頭に磁石を取り付けた。,Keeton put magnets on the heads of his pigeons.
1645,弥,8.0,8,1687,1.0,"['ミ', 'ビ']","['や', 'いや', 'いよ.いよ', 'わた.る']","['all the more', 'increasingly']",正式には阿弥陀仏。,His formal name was Amida Buddha.
1646,昆,8.0,8,1688,1.0,['コン'],[],"['descendants', 'elder brother', 'insect']",雨林は地表のわずか２％をしめるに過ぎないが、世界の野生の動植物、及び昆虫の半分以上の種類がそこで生息している。,"Although rainforests make up only two percent of the earth's surface, over half the world's wild plant, animal and insect species live there."
1647,粗,8.0,11,1689,1.0,['ソ'],"['あら.い', 'あら-']","['coarse', 'rough', 'rugged']",柔らかいウールの方が粗いウールより高価で、そのどちらともナイロン製の人工繊維より上等である。,Soft wool is more expensive than coarse wool and both are superior to synthetics made of nylon.
1648,訂,8.0,9,1690,1.0,['テイ'],['ただ.す'],"['revise', 'correct', 'decide']",間違いを訂正した上で、ファイルをルクセンバーグ氏に返却して下さい。,Correct the mistake and return the file to Mr Luxemburg.
1649,芽,4.0,8,1691,1.0,['ガ'],['め'],"['bud', 'sprout', 'spear', 'germ']",木が芽をふいている。,The trees are shooting out buds.
1650,庄,9.0,6,1693,1.0,"['ショウ', 'ソ', 'ソウ', 'ホウ']",[],"['level', 'in the country', 'manor', 'village', 'hamlet']",江戸時代に村政の責任を負う人は庄屋という。,"In the Edo period, the person who assumed responsibility for a village was called a shoya."
1651,傘,8.0,12,1694,1.0,['サン'],['かさ'],['umbrella'],今日は傘を持っていったほうがいいよ。,You had better take an umbrella with you today.
1652,騎,8.0,18,1696,1.0,['キ'],[],"['equestrian', 'riding on horses', 'counter for equestrians']",彼は抜群の騎手だ。,He is out and away the best jockey.
1653,寧,8.0,14,1697,1.0,['ネイ'],['むし.ろ'],"['rather', 'preferably', 'peaceful', 'quiet', 'tranquility']",私達はできる限りの丁寧な態度で彼を取り扱った。,We treated him in the politest manner possible.
1654,濯,8.0,17,1698,2.0,['タク'],"['すす.ぐ', 'ゆす.ぐ']","['laundry', 'wash', 'pour on', 'rinse']",インクの染みが洗濯しても落ちない。,The ink stain will not wash out.
1655,循,8.0,12,1699,1.0,['ジュン'],[],"['sequential', 'follow']",血液は体内を循環する。,Blood circulates through the body.
1656,忍,8.0,7,1700,1.0,['ニン'],"['しの.ぶ', 'しの.ばせる']","['endure', 'bear', 'put up with', 'conceal', 'secrete', 'spy', 'sneak']",忍を行じてのみ、よく怨みを解くことを得る。,By love alone is enmity allayed.
1657,猫,8.0,11,1702,2.0,['ビョウ'],['ねこ'],['cat'],猫がいなくなるとネズミたちが遊びだす。,"When the cat is away, the mice will play."
1658,怠,8.0,9,1703,1.0,['タイ'],"['おこた.る', 'なま.ける']","['neglect', 'laziness']",その少年は植物に水をやるのを怠り、叱られた。,"The boy neglected to water the plants, and he was scolded."
1659,如,8.0,6,1704,1.0,"['ジョ', 'ニョ']",['ごと.し'],"['likeness', 'like', 'such as', 'as if', 'better', 'best', 'equal']",それは相互理解の欠如がもとになっていると思う。,I think that is based on a lack of mutual understanding.
1660,寮,8.0,15,1705,1.0,['リョウ'],[],"['dormitory', 'hostel', 'villa', 'tea pavillion']",寮の暖房が故障してるんです。,Our dorm's having heater problems.
1661,塔,8.0,12,1708,2.0,['トウ'],[],"['pagoda', 'tower', 'steeple']",その塔は高さが２２０メートルもある。,The tower is as high as 220 meters.
1662,沸,8.0,8,1709,2.0,['フツ'],"['わ.く', 'わ.かす']","['seethe', 'boil', 'ferment', 'uproar', 'breed']",御湯を沸かしてちょうだい。,Bring the water to the boil.
1663,鉛,8.0,13,1710,1.0,['エン'],['なまり'],['lead'],鉛は簡単に曲がる。,Lead bends easily.
1664,珠,8.0,10,1711,1.0,['シュ'],['たま'],"['pearl', 'gem', 'jewel']",彼が真珠を盗んだのは本当です。,It is true that he stole the pearl.
1665,凝,8.0,16,1712,1.0,['ギョウ'],"['こ.る', 'こ.らす', 'こご.らす', 'こご.らせる', 'こご.る']","['congeal', 'freeze', 'stiff', 'be absorbed in']",彼女は大勢の少年たちに凝視されているのを意識していたと思う。,I think she was conscious of being stared at by many boys.
1666,苗,8.0,8,1713,1.0,"['ビョウ', 'ミョウ']","['なえ', 'なわ-']","['seedling', 'sapling', 'shoot']",冬の間は苗を鉢植えにする。,The young plants are potted during the winter.
1667,獣,8.0,16,1714,1.0,['ジュウ'],"['けもの', 'けだもの']","['animal', 'beast']",飢えた獣は、畑の作物を貪り食った。,The starved beast devoured the crops in the field.
1668,哀,8.0,9,1715,1.0,['アイ'],"['あわ.れ', 'あわ.れむ', 'かな.しい']","['pathetic', 'grief', 'sorrow', 'pathos', 'pity', 'sympathize']",彼はしょんぼりして、哀れに見えた。,"He looked piteous, like a drowned mouse."
1669,跳,8.0,13,1716,1.0,['チョウ'],"['は.ねる', 'と.ぶ', '-と.び']","['hop', 'leap up', 'spring', 'jerk', 'prance', 'buck', 'splash', 'sputter', 'snap']",小中学校の体育の授業で、特に重い事故が目立つのが跳び箱だ。,"During primary and middle school physical education lessons, vaulting horses are a striking cause of especially serious accidents."
1670,灰,6.0,6,1717,2.0,['カイ'],['はい'],"['ashes', 'puckery juice', 'cremate']",その古い家は焼けて灰になった。,The old house was burned to ashes.
1671,匠,8.0,6,1718,1.0,['ショウ'],['たくみ'],"['artisan', 'workman', 'carpenter']",この包丁・・・有名な刀匠が作ったものなんです。,This carving knife ... it's one made by a famous swordsmith.
1672,菓,8.0,11,1719,2.0,['カ'],[],"['candy', 'cakes', 'fruit']",いろいろなお菓子があった。,There were various kinds of sweets.
1673,垂,6.0,8,1720,1.0,['スイ'],"['た.れる', 'た.らす', 'た.れ', '-た.れ', 'なんなんと.す']","['droop', 'suspend', 'hang', 'slouch']",「どうだった？」「急性虫垂炎だって」,"""How did it go?"" ""They said it was acute appendicitis."""
1674,蛇,8.0,11,1721,1.0,"['ジャ', 'ダ', 'イ', 'ヤ']",['へび'],"['snake', 'serpent', 'hard drinker']",この蛇は触っても安全ですか。,Is this snake safe to touch?
1675,澄,8.0,15,1722,1.0,['チョウ'],"['す.む', 'す.ます', '-す.ます']","['lucidity', 'be clear', 'clear', 'clarify', 'settle', 'strain', 'look grave']",彼はアメリカ滞在中の体験を話し始めた。私たちは耳を澄まして夢中で聞いた。,He started to tell us his experiences during his stay in America. We were all ears.
1676,縫,8.0,16,1723,1.0,['ホウ'],['ぬ.う'],"['sew', 'stitch', 'embroider']",あなたは本当に裁縫が上手ですね。,You're a magician with a needle and thread.
1677,僧,8.0,13,1724,1.0,['ソウ'],[],"['Buddhist priest', 'monk']",その僧は子供達の遊びに仲間入りした。,The priest participated in the children's games.
1678,幾,8.0,12,1725,1.0,['キ'],"['いく-', 'いく.つ', 'いく.ら']","['how many', 'how much', 'how far', 'how long', 'some', 'several']",この儀式は幾世代にもわたって伝わってきた。,This ceremony has been handed down from generation to generation.
1679,眺,8.0,11,1726,1.0,['チョウ'],['なが.める'],"['stare', 'watch', 'look at', 'see', 'scrutinize']",彼は何時間も座って海を眺めたものだった。,He would sit and look at the sea for hours.
1680,唐,8.0,10,1727,1.0,['トウ'],['から'],"['""Tang""', 'China', 'foreign']",彼女は記者に突きつけられた唐突な質問に当惑した様子だった。,She looked puzzled at the abrupt question posed by a reporter.
1681,亘,9.0,6,1728,1.0,"['コウ', 'カン', 'セン']","['わた.る', 'もと.める']","['span', 'range', 'extend over']",産地も全県に亘る。,Production takes place throughout the whole prefecture.
1682,呉,8.0,7,1729,1.0,['ゴ'],"['く.れる', 'くれ']","['give', 'do something for', 'kingdom of Wu']",実家は呉服屋。,His parents run a drapery shop.
1683,凡,8.0,3,1730,1.0,"['ボン', 'ハン']","['およ.そ', 'おうよ.そ', 'すべ.て']","['commonplace', 'ordinary', 'mediocre']",工場労働者の多くは自分のことを平凡な人間だと思っている。,Many factory workers consider themselves just an average Joe.
1684,憩,8.0,16,1731,1.0,['ケイ'],"['いこ.い', 'いこ.う']","['recess', 'rest', 'relax', 'repose']",もう３時間以上も運転しているから、ドライブインでちょっと休憩しよう。,Three hours of driving has worn me out. Let's pull over at the next rest stop we see.
1685,媛,4.0,12,1735,1.0,['エン'],['ひめ'],"['beautiful woman', 'princess']",愛媛県松山市に生れる。,He was born in Matsuyama in Ehime prefecture.
1686,溝,8.0,13,1736,1.0,['コウ'],['みぞ'],"['gutter', 'ditch', 'sewer', 'drain', '10**32']",彼はジャンプして溝を越えた。,He jumped over a ditch.
1687,恭,8.0,10,1737,1.0,['キョウ'],['うやうや.しい'],"['respect', 'reverent']",敬礼は恭敬の意を表するものである。,We salute to show our respect.
1688,刈,8.0,4,1738,1.0,"['ガイ', 'カイ']",['か.る'],"['reap', 'cut', 'clip', 'trim', 'prune']",彼は小型トラックとよれよれの大きな芝刈り機をもっていた。,"He had an old pickup truck and a big, battered mower."
1689,睡,8.0,13,1739,1.0,['スイ'],"['ねむ.る', 'ねむ.い']","['drowsy', 'sleep', 'die']",睡眠不足で、心筋梗塞リスクが上昇。,Sleep deprivation increases risk of heart attacks.
1690,錯,8.0,16,1740,1.0,"['サク', 'シャク']",[],"['confused', 'mix', 'be in disorder']",「好色と倒錯の違いとは？」「好色なら羽を使うが、倒錯なら鶏をまるごと使う」,"""What's the difference between erotic and kinky?"" ""Erotic is when you use a feather and kinky is when you use a whole chicken."""
1691,伯,8.0,7,1741,1.0,['ハク'],[],"['chief', 'count', 'earl', 'uncle', 'Brazil']",彼女ならカナダからの留学生で、僕の伯父のところに滞在しているんだ。,"She is a student from Canada, staying with my uncle."
1692,帽,8.0,12,1742,2.0,"['ボウ', 'モウ']","['ずきん', 'おお.う']","['cap', 'headgear']",彼は立ち上がってテーブルの上の帽子を手に取ろうとして手を伸ばした。,They stood up and reached for his hat on the table.
1693,穀,6.0,14,1744,1.0,['コク'],[],"['cereals', 'grain']",農民が穀物の種を蒔いた。,The peasant scattered the seeds of grain.
1694,陵,8.0,11,1746,1.0,['リョウ'],['みささぎ'],"['mausoleum', 'imperial tomb', 'mound', 'hill']",耳原の中の陵に葬られた。,He was entombed within the mausoleum at Mimihara.
1695,霧,8.0,19,1747,1.0,"['ム', 'ボウ', 'ブ']",['きり'],"['fog', 'mist']",霧がすぐに晴れてくれればいいんだが。,I hope the fog will go away soon.
1696,魂,8.0,14,1748,1.0,['コン'],"['たましい', 'たま']","['soul', 'spirit']",お前の魂が助けを求めている。,Your soul needs rescue.
1697,枯,8.0,9,1749,2.0,['コ'],"['か.れる', 'か.らす']","['wither', 'die', 'dry up', 'be seasoned']",霜で花はみんな枯れた。,The frost killed all the flowers.
1698,弊,8.0,15,1750,1.0,['ヘイ'],[],"['abuse', 'evil', 'vice', 'breakage']",弊社は機械パーツの輸入を行っています。,We specialize in the import of machinery parts.
1699,妃,8.0,6,1752,1.0,['ヒ'],['きさき'],"['queen', 'princess']",宮殿には国王と王妃が住んでいる。,In the palace live the king and the queen.
1700,舶,8.0,11,1753,1.0,['ハク'],[],"['liner', 'ship']",懐中電灯は、船舶同士とか、街の通りを走っている自動車に向けて合図を伝える。,Flashing lights transmit messages between ships and to motorists along city streets.
1701,餓,8.0,15,1754,1.0,['ガ'],['う.える'],"['starve', 'hungry', 'thirst']",かわいそうにその子供は餓死寸前だった。,The poor child was on the verge of starvation.
1702,窮,8.0,15,1756,1.0,"['キュウ', 'キョウ']","['きわ.める', 'きわ.まる', 'きわ.まり', 'きわ.み']","['hard up', 'destitute', 'suffer', 'perplexed', 'cornered']",彼は言葉に窮した。,He didn't know how to express himself.
1703,掌,8.0,12,1757,1.0,['ショウ'],"['てのひら', 'たなごころ']","['manipulate', 'rule', 'administer', 'conduct', 'palm of hand']",積極的な姿勢があれば、解決できる問題はそのやり方を求め、掌握できない事柄からは手を引くことになる。,"If you have a positive attitude, you are looking for ways to solve the problems that you can solve, and you are letting go of the things over which you have no control."
1704,麗,8.0,19,1758,1.0,['レイ'],"['うるわ.しい', 'うら.らか']","['lovely', 'beautiful', 'graceful', 'resplendent']",地域参加を呼びかけてもしょせんは美辞麗句、どのみち市役所はやりたいことを勝手にやるに決まっている。,The claim of community involvement is just window dressing; City Hall will do what it wants to anyhow.
1705,綾,9.0,14,1759,1.0,['リン'],['あや'],"['design', 'figured cloth', 'twill']",とても元気よ！ねえ、ローラ、こちら友達の綾子。,"I'm fine, thanks. Oh, Laura, this is my friend, Ayako."
1706,臭,8.0,9,1760,1.0,['シュウ'],"['くさ.い', '-くさ.い', 'にお.う', 'にお.い']","['stinking', 'ill-smelling', 'suspicious looking', 'odor', 'savor', 'fragrance', 'be fragrant', 'stink', 'glow', 'be bright']",台所で何か焦げ臭いにおいがします。,I smell something burning in the kitchen.
1707,悦,8.0,10,1762,1.0,['エツ'],"['よろこ.ぶ', 'よろこ.ばす']","['ecstasy', 'joy', 'rapture']",彼は私の失敗にご満悦の体でそこに座っていた。,"He was sitting there, delighted with my failure."
1708,刃,8.0,3,1763,1.0,"['ジン', 'ニン']","['は', 'やいば', 'き.る']","['blade', 'sword', 'edge']",刃の鋭いナイフを手に入れた。,I've got a keen-edged knife.
1709,縛,8.0,16,1764,1.0,['バク'],['しば.る'],"['truss', 'arrest', 'bind', 'tie', 'restrain']",彼は両足を縛られてそこに横たわっていた。,He was lying there with his legs bound together.
1710,暦,8.0,14,1765,1.0,"['レキ', 'リャク']",['こよみ'],"['calendar', 'almanac']",「椎の木の暦」,Castanopsis Calendar
1711,宜,8.0,8,1766,1.0,['ギ'],"['よろ.しい', 'よろ.しく']","['best regards', 'good']",テレビはスポーツファンに一層大きな便宜を与える、という長所を持っている。,Television has the advantage of providing sports fans with greater convenience.
1712,盲,8.0,8,1767,1.0,['モウ'],['めくら'],"['blind', 'blind man', 'ignoramus']",盲馬にはうなずいても目配せしても同じこと。,A nod is as good as a wink to a blind horse.
1713,粋,8.0,10,1768,1.0,['スイ'],['いき'],"['chic', 'style', 'purity', 'essence', 'pith', 'cream', 'elite', 'choice']",今日の格好はとっても粋ですね。,You're looking snappy today.
1714,辱,8.0,10,1769,1.0,['ジョク'],['はずかし.める'],"['embarrass', 'humiliate', 'shame']",辱を知れ。,Bite your tongue!
1715,毅,9.0,15,1770,1.0,"['キ', 'ギ']",['つよ.い'],['strong'],５年に及ぶつらかったガンの治療期間中、彼は何とか弱音をはかず毅然とした態度を崩さなかった。,"Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip."
1716,轄,8.0,17,1771,1.0,['カツ'],['くさび'],"['control', 'wedge']",平壌は、朝鮮民主主義人民共和国の首都、直轄市であり、最大の都市。,"Pyongyang is the capital city, a directly-controlled municipality, and the largest city of the Democratic People's Republic of Korea."
1717,猿,8.0,13,1772,1.0,['エン'],['さる'],['monkey'],猿も木から落ちる。,Anyone can make a mistake; even the worthy Homer sometimes nods (literally: even monkeys fall from trees).
1718,弦,8.0,8,1773,1.0,['ゲン'],['つる'],"['bowstring', 'chord', 'hypotenuse']",弦は弾くと振動する。,Strings vibrate when plucked.
1719,稔,9.0,13,1775,1.0,"['ネン', 'ジン', 'ニン']","['みの.る', 'みのり']","['harvest', 'ripen']",その中で日本アレルギー協会会長の奥田稔が行なった住民台帳を基準にした疫学調査は１万人を対象とした今までにない大規模なものでした。,"Among that data, an epidemiological study based on a residential registry of ten thousand people carried out by the president of the Japan Allergy Foundation, Minoru Okuda, has been the largest of its type."
1720,窒,8.0,11,1776,1.0,['チツ'],[],"['plug up', 'obstruct']",私達の吸っている空気は酸素と窒素からできている。,The air we breathe consists of oxygen and nitrogen.
1721,炊,8.0,8,1777,1.0,['スイ'],"['た.く', '-だ.き']","['cook', 'boil']",とろ火で時間をかけて豆を炊いてください。,Please simmer the beans for a while over a low heat.
1722,洪,8.0,9,1778,1.0,['コウ'],[],"['deluge', 'flood', 'vast']",その洪水は彼らが体験したうちで最大の災害だった。,The flood was the greatest disaster they had ever had.
1723,摂,8.0,13,1779,1.0,"['セツ', 'ショウ']","['おさ.める', 'かね.る', 'と.る']","['vicarious', 'surrogate', 'act in addition to', 'take in', 'absorb']",栄養をきちんと摂ることは、幼児の発育には極めて重要なことです。,Good nutrition is vital for an infant's growth.
1724,飽,8.0,13,1780,1.0,['ホウ'],"['あ.きる', 'あ.かす', 'あ.く']","['sated', 'tired of', 'bored', 'satiate']",彼女は飽きもせず、いつまでも星を眺めていた。,She looked at the stars for a long time without losing interest.
1725,冗,8.0,4,1782,1.0,['ジョウ'],[],"['superfluous', 'uselessness']",彼女はその話を冗談だと考えた。,She regarded the story as a joke.
1726,涼,8.0,11,1783,2.0,['リョウ'],"['すず.しい', 'すず.む', 'すず.やか', 'うす.い', 'ひや.す', 'まことに']","['refreshing', 'nice and cool']",でも典型的なサバンナ気候の国で、涼しい気温に恵まれているのです。,"But it's a typical savannah country, and we enjoy cooler temperatures."
1727,桃,8.0,10,1784,1.0,['トウ'],['もも'],['peach'],桃はりんごより甘いと思います。,I think peaches are sweeter than apples.
1728,狩,8.0,9,1785,1.0,['シュ'],"['か.る', 'か.り', '-が.り']","['hunt', 'raid', 'gather']",彼は森へ狩りに行った。,He went hunting in the woods.
1729,舟,8.0,6,1786,2.0,['シュウ'],"['ふね', 'ふな-', '-ぶね']","['boat', 'ship']",港には、たくさんの舟がいる。,There are many ships in the harbor.
1730,貝,1.0,7,1787,2.0,['バイ'],['かい'],['shellfish'],貝は好きではない。,I don't like shellfish.
1731,朱,8.0,6,1788,1.0,['シュ'],['あけ'],"['vermilion', 'cinnabar', 'scarlet', 'red', 'bloody']",朱に交われば赤くなる。,He who touches pitch shall be defiled therewith.
1732,渦,8.0,12,1789,1.0,['カ'],['うず'],"['whirlpool', 'eddy', 'vortex']",コロナ感染症の渦中では自由三昧に過ごすのは控えよう。,"During the COVID pandemic, let’s refrain from doing whatever we want."
1733,紳,8.0,11,1790,1.0,['シン'],[],"['sire', 'good belt', 'gentleman']",工場は紳士服をもっぱら生産している。,The factory is keyed to produce men's wear.
